APPLE 16GB 512GB M1 0 MACOS 16INC, 5, 47474, MACBOOK PRO MK183TU/A, https://www.hepsiburada.com/apple-macbook-m1-pro-cip-16gb-512gb-ssd-macos-16-qhd-tasinabilir-bilgisayar-uzay-grisi-mk183tu-a-p-HBCV00000U6WE5
APPLE 16GB 512GB M1 0 MACOS 16INC, 5, 47399, MACBOOK PRO MK183TU/A, https://www.trendyol.com/apple/macbook-pro-16-m1-pro-16-gb-512gb-ssd-uzay-grisi-p-179245274?boutiqueId=613344&merchantId=141868
APPLE 16GB 512GB M1 0 MACOS 16INC, 5, 49999, MACBOOK PRO MK183TU/A, https://www.n11.com/urun/apple-macbook-pro-mk183tua-apple-m1-pro-16-gb-512-gb-ssd-16-macos-dizustu-bilgisayar-2299691?magaza=integrakurumsal
APPLE 16GB 512GB M1 0 MACOS 16INC, 5, 47399, MACBOOK PRO MK183TU/A, https://www.vatanbilgisayar.com/macbook-pro-mk183tu-a-m1-pro-16gb-512gbssd-liquid-retina-16-space-grey.html

APPLE 8GB 256GB M2 0 MACOS 13.6INC, 5, 24754, MACBOOK AIR MLXW3TU/A, https://www.hepsiburada.com/apple-macbook-air-m2-cip-8gb-256gb-ssd-macos-13-tasinabilir-bilgisayar-uzay-grisi-mlxw3tu-a-p-HBCV00002GNKNT
APPLE 8GB 256GB M2 0 MACOS 13.6INC, 5, 24155, MACBOOK AIR MLXW3TU/A, https://www.trendyol.com/apple/macbook-air-13-6-m2-8gb-256gb-ssd-uzay-grisi-p-335392170?boutiqueId=61&merchantId=118442
APPLE 8GB 256GB M2 0 MACOS 13.6INC, 4, 24399, MACBOOK AIR MLXW3TU/A, https://www.n11.com/urun/apple-macbook-air-mlxw3tua-m2-8c-8gpu-8-gb-ram-256-gb-ssd-136-dizustu-bilgisayar-20783408?magaza=gpnteknoloji
APPLE 8GB 256GB M2 0 MACOS 13.6INC, 5, 25899, MACBOOK AIR MLXW3TU/A, https://www.vatanbilgisayar.com/macbook-air-mlxw3tu-a-m2-8gb-256gb-ssd-liquid-retina-13-6inc-uzay-grisi.html

HP 16GB 1TB I7 1165G7 W10 13.5INC, 5, 32990, SPECTRE X360 14-EA0008NT 4H1T0EA, https://www.hepsiburada.com/hp-spectre-x360-14-ea0008nt-intel-core-i7-1165g7-16gb-1tb-ssd-windows-10-home-13-5-tasinabilir-bilgisayar-4h1t0ea-p-HBCV00000N9TCW
HP 16GB 1TB I7 1165G7 W10 13.5INC, 5, 32999, SPECTRE X360 14-EA0008NT 4H1T0EA, https://www.trendyol.com/hp/spectre-x360-14-ea0008nt-4h1t0ea-i7-1165g7-16gb-ram-1tb-ssd-13-5-wuxga-dokunmatik-windows-10-p-143631717?boutiqueId=613344&merchantId=118442
HP 16GB 1TB I7 1165G7 W10 13.5INC, 0, 34356, SPECTRE X360 14-EA0008NT 4H1T0EA, https://www.n11.com/urun/hp-spectre-x360-4h1t0ea-i7-1165g7-16-gb-1-tb-ssd-135-w10h-touch-dizustu-bilgisayar-2126136?magaza=gpnteknoloji
HP 16GB 1TB I7 1165G7 W10 13.5INC, 0, 32499, SPECTRE X360 14-EA0007NT 4H1T0EA, https://www.vatanbilgisayar.com/hp-spectre-x360-14-ea0007nt-core-i7-1165g7-2-8ghz-16gb-1tb-ssd-13-5-int-w10.html

HUAWEI 8GB 512GB I5 12450H W11 16INC, 5, 17449, MATEBOOK D16, https://www.hepsiburada.com/huawei-matebook-d16-intel-core-i5-12450h-8gb-512gb-ssd-windows-11-home-16-tasinabilir-bilgisayar-p-HBCV00002NKF5S
HUAWEI 8GB 512GB I5 12450H W11 16INC, 0, 17000, MATEBOOK D16, https://www.trendyol.com/huawei/matebook-d16-i5-12450h-8gb-ram-512gb-ssd-16-win-11-laptop-uzay-grisi-p-360596495?boutiqueId=61&merchantId=275331
HUAWEI 8GB 512GB I5 12450H W11 16INC, 0, 19199, MATEBOOK D16, https://www.n11.com/urun/huawei-matebook-d-16-rollef-w5851-i5-12450h-8-gb-512-gb-16-w11h-dizustu-bilgisayar-18565098?magaza=laptopfirsati
