ACER 16GB 2TB R5 5600H FREEDOS 15.6INC, 0, 24849, NITRO 5 AN515-45 NHQBAEY008, https://www.trendyol.com/acer/nitro-5-an515-45-amd-ryzen-5-5600h-16gb-2-tb-ssd-rtx-3050-freedos-15-6-fhd-144-hz-nhqbaey008-p-360817052?boutiqueId=61&merchantId=106536, TRENDYOL
ACER 16GB 2TB R5 5600H W11P 15.6INC, 0, 27109, NITRO 5 AN515-45 NHQBAEY0WP08, https://www.trendyol.com/acer/nitro-5-an515-45-amd-ryzen-5-5600h-16gb-2-tb-ssd-rtx-3050-w11p-15-6-fhd-144-hz-nhqbaey0wp08-p-360931030?boutiqueId=61&merchantId=106536, TRENDYOL
ACER 16GB 512GB I5 10300H FREEDOS 17.3INC, 5, 35000, NITRO AN517-52 NH.QDVEY.001, https://www.hepsiburada.com/acer-nitro-an517-52-intel-core-i5-10300h-16gb-512gb-ssd-rtx3050-freedos-17-3-fhd-tasinabilir-bilgisayar-nh-qdvey-001-p-HBCV000010I9AW, HEPSI
ACER 16GB 512GB I5 10300H W10 15.6INC, 0, 29153, PREDATOR PT315-52-57PN, https://www.trendyol.com/acer/predator-pt315-52-57pn-10-nesil-core-i5-10300h-16gb-512gb-ssd-15-6inch-gtx1660ti-6gb-w10-p-262590081?boutiqueId=61&merchantId=624588, TRENDYOL
ACER 16GB 512GB I5 10300H W10 15.6INC, 0.0, 29075, PREDATOR, https://www.vatanbilgisayar.com/acer-predator-core-i5-10300h-2-5ghz-16gb-512gb-ssd-15-6-gtx1660ti-6gb-w10-126441.html, VATAN
ACER 16GB 512GB I5 10300H W10 15.6INC, 5.0, 27258, PREDATOR, https://www.vatanbilgisayar.com/acer-predator-core-i5-10300h-2-5ghz-16gb-512gb-ssd-15-6-gtx1660ti-6gb-w10.html, VATAN
ACER 16GB 512GB I5 1035G1 W10 15.6INC, 0, 13499, ASPIRE A315-57G-S16 NX.HZREY.001A16, https://www.hepsiburada.com/acer-aspire-a315-57g-s16-intel-core-i5-1035g1-16gb-512gb-ssd-mx330-windows-10-home-15-6-fhd-tasinabilir-bilgisayar-nx-hzrey-001a16-p-HBCV00001T7HWB, HEPSI
ACER 16GB 512GB I5 11400H FREEDOS 15.6INC, 0.0, 19949, NITRO 5 AN515-57 NH.QESEY.001, https://www.n11.com/urun/acer-nitro-5-an515-57-nhqesey001-i5-11400h-16-gb-512-gb-ssd-rtx3050ti-156-dos-dizustu-bilgisayar-5589929?magaza=bozdanteknoloji, N11
ACER 16GB 512GB I5 11400H FREEDOS 15.6INC, 5, 19949, NITRO 5 AN515-57 NH.QESEY.001, https://www.hepsiburada.com/acer-nitro-5-an515-57-intel-core-i5-11400h-16-gb-512-gb-ssd-rtx-3050ti-4-gb-freedos-15-6-fhd-tasinabilir-bilgisayar-nh-qesey-001-p-HBCV00002BIF86, HEPSI
ACER 16GB 512GB I5 11400H FREEDOS 17.3INC, 5.0, 26299, NITRO 5, https://www.vatanbilgisayar.com/acer-nitro-5-11-nesil-core-i5-11400h-16gb-512gb-ssd-17-3inc-rtx3060-6gb-freedos.html, VATAN
ACER 16GB 512GB I5 11400H W11 17.3INC, 5, 21099, NITRO AN517-54, https://www.trendyol.com/acer/nitro-an517-54-intel-i5-11400h-16gb-ram-512gb-ssd-rtx3050-4gb-17-3-fhd-144hz-w11-gaming-notebo-p-344597885?boutiqueId=613901&merchantId=702158, TRENDYOL
ACER 16GB 512GB I7 10750H FREEDOS 17.3INC, 5, 27071, NITRO 5 NH.QAWEY.001, https://www.trendyol.com/acer/nitro-5-intel-core-i7-10750h-16gb-512gb-ssd-rtx-3060-6-gb-freedos-17-3-fhd-144-hz-nh-qawey-001-p-193269099?boutiqueId=61&merchantId=624588, TRENDYOL
ACER 16GB 512GB I7 10750H FREEDOS 17.3INC, 5.0, 26999, NITRO 5, https://www.vatanbilgisayar.com/acer-nitro-5-10-nesil-core-i7-10750h-16gb-512gb-ssd-17-3-rtx3060-6gb-freedos.html, VATAN
ACER 16GB 512GB I7 10750H W10 15.6INC, 5.0, 25499, NITRO 5, https://www.vatanbilgisayar.com/acer-nitro-5-core-i7-10750h-2-6ghz-16gb-512gb-ssd-15-6-rtx3050ti-4gb-w10.html, VATAN
ACER 16GB 512GB I7 10750H W10 17.3INC, 5.0, 33722, PREDATOR, https://www.vatanbilgisayar.com/acer-predator-core-i7-10750h-2-6ghz-16gb-512gb-ssd-17-3-rtx-2060-6gb-w10-120375.html, VATAN
ACER 16GB 512GB I7 1165G7 W10 14INC, 5, 16249, TRALMATE P2 TMP214-53G-75UB NX.VPQEY.003, https://www.trendyol.com/acer/travelmate-p2-tmp214-53g-75ub-nx-vpqey-003-i7-1165g7-16gb-512ssd-mx330-14-fullhd-w10h-tasinabi-p-221861449?boutiqueId=613344&merchantId=106664, TRENDYOL
ACER 16GB 512GB I7 1165G7 W10 14INC, 5, 17300, SWIFT 3 SF314-511 NX.ABNEY.002, https://www.trendyol.com/acer/swift-3-sf314-511-nx-abney-002-intel-core-i7-1165g7-16gb-ram-512gb-ssd-14-fhd-win10-home-noteb-p-275956315?boutiqueId=61&merchantId=190694, TRENDYOL
